time,G(i),H_sun,T2m,WS10m,Int
20100117:0003,0.0,0.0,0.0,0.0,0.0
20100117:0103,0.0,0.0,0.0,0.0,0.0
20100117:0203,0.0,0.0,0.0,0.0,0.0
20100117:0303,0.0,0.0,0.0,0.0,0.0
20100117:0403,0.0,0.0,0.0,0.0,0.0
20100117:0503,0.0,0.0,0.0,0.0,0.0
20100117:0603,0.0,0.0,0.0,0.0,0.0
20100117:0703,0.0,0.0,0.0,0.0,0.0
20100117:0803,0.0,0.0,0.0,0.0,0.0
20100117:0903,115.16,9.23,0.0,0.0,0.0
20100117:1003,331.19,22.5,0.0,0.0,0.0
20100117:1103,570.97,36.03,0.0,0.0,0.0
20100117:1203,787.5,49.74,0.0,0.0,0.0
20100117:1303,942.04,63.54,0.0,0.0,0.0
20100117:1403,1027.75,77.36,0.0,0.0,0.0
20100117:1503,1055.66,87.54,0.0,0.0,0.0
20100117:1603,1017.79,74.51,0.0,0.0,0.0
20100117:1703,873.11,60.68,0.0,0.0,0.0
20100117:1803,460.09,46.89,0.0,0.0,0.0
20100117:1903,272.07,33.22,0.0,0.0,0.0
20100117:2003,178.2,19.73,0.0,0.0,0.0
20100117:2103,36.06,6.53,0.0,0.0,0.0
20100117:2203,0.0,0.0,0.0,0.0,0.0
20100117:2303,0.0,0.0,0.0,0.0,0.0
20100118:0003,0.0,0.0,0.0,0.0,0.0
20100118:0103,0.0,0.0,0.0,0.0,0.0
20100118:0203,0.0,0.0,0.0,0.0,0.0
20100118:0303,0.0,0.0,0.0,0.0,0.0
20100118:0403,0.0,0.0,0.0,0.0,0.0
20100118:0503,0.0,0.0,0.0,0.0,0.0
20100118:0603,0.0,0.0,0.0,0.0,0.0
20100118:0703,0.0,0.0,0.0,0.0,0.0
20100118:0803,0.0,0.0,0.0,0.0,0.0
20100118:0903,104.9,9.09,0.0,0.0,0.0
20100118:1003,282.69,22.37,0.0,0.0,0.0
20100118:1103,556.88,35.91,0.0,0.0,0.0
20100118:1203,731.37,49.62,0.0,0.0,0.0
20100118:1303,930.01,63.43,0.0,0.0,0.0
20100118:1403,1032.72,77.24,0.0,0.0,0.0
20100118:1503,1049.64,87.41,0.0,0.0,0.0
20100118:1603,1023.75,74.54,0.0,0.0,0.0
20100118:1703,882.08,60.72,0.0,0.0,0.0
20100118:1803,542.18,46.93,0.0,0.0,0.0
20100118:1903,336.19,33.24,0.0,0.0,0.0
20100118:2003,27.0,19.74,0.0,0.0,0.0
20100118:2103,15.0,6.52,0.0,0.0,0.0
20100118:2203,0.0,0.0,0.0,0.0,0.0
20100118:2303,0.0,0.0,0.0,0.0,0.0
20100119:0003,0.0,0.0,0.0,0.0,0.0
20100119:0103,0.0,0.0,0.0,0.0,0.0
20100119:0203,0.0,0.0,0.0,0.0,0.0
20100119:0303,0.0,0.0,0.0,0.0,0.0
20100119:0403,0.0,0.0,0.0,0.0,0.0
20100119:0503,0.0,0.0,0.0,0.0,0.0
20100119:0603,0.0,0.0,0.0,0.0,0.0
20100119:0703,0.0,0.0,0.0,0.0,0.0
20100119:0803,0.0,0.0,0.0,0.0,0.0
20100119:0903,98.76,8.94,0.0,0.0,0.0
20100119:1003,311.99,22.24,0.0,0.0,0.0
20100119:1103,413.28,35.79,0.0,0.0,0.0
20100119:1203,771.43,49.51,0.0,0.0,0.0
20100119:1303,938.98,63.32,0.0,0.0,0.0
20100119:1403,1003.72,77.12,0.0,0.0,0.0
20100119:1503,1031.63,87.27,0.0,0.0,0.0
20100119:1603,1023.72,74.57,0.0,0.0,0.0
20100119:1703,912.06,60.76,0.0,0.0,0.0
20100119:1803,725.5,46.96,0.0,0.0,0.0
20100119:1903,428.49,33.26,0.0,0.0,0.0
20100119:2003,211.41,19.75,0.0,0.0,0.0
20100119:2103,15.0,6.51,0.0,0.0,0.0
20100119:2203,0.0,0.0,0.0,0.0,0.0
20100119:2303,0.0,0.0,0.0,0.0,0.0
20100120:0003,0.0,0.0,0.0,0.0,0.0
20100120:0103,0.0,0.0,0.0,0.0,0.0
20100120:0203,0.0,0.0,0.0,0.0,0.0
20100120:0303,0.0,0.0,0.0,0.0,0.0
20100120:0403,0.0,0.0,0.0,0.0,0.0
20100120:0503,0.0,0.0,0.0,0.0,0.0
20100120:0603,0.0,0.0,0.0,0.0,0.0
20100120:0703,0.0,0.0,0.0,0.0,0.0
20100120:0803,0.0,0.0,0.0,0.0,0.0
20100120:0903,105.01,8.8,0.0,0.0,0.0
20100120:1003,338.32,22.11,0.0,0.0,0.0
20100120:1103,570.94,35.67,0.0,0.0,0.0
20100120:1203,777.42,49.4,0.0,0.0,0.0
20100120:1303,942.95,63.21,0.0,0.0,0.0
20100120:1403,1042.64,77.0,0.0,0.0,0.0
20100120:1503,1078.54,87.11,0.0,0.0,0.0
20100120:1603,1023.69,74.6,0.0,0.0,0.0
20100120:1703,912.03,60.79,0.0,0.0,0.0
20100120:1803,734.49,46.98,0.0,0.0,0.0
20100120:1903,436.51,33.28,0.0,0.0,0.0
20100120:2003,214.42,19.75,0.0,0.0,0.0
20100120:2103,14.0,6.5,0.0,0.0,0.0
20100120:2203,0.0,0.0,0.0,0.0,0.0
20100120:2303,0.0,0.0,0.0,0.0,0.0
20100121:0003,0.0,0.0,0.0,0.0,0.0
20100121:0103,0.0,0.0,0.0,0.0,0.0
20100121:0203,0.0,0.0,0.0,0.0,0.0
20100121:0303,0.0,0.0,0.0,0.0,0.0
20100121:0403,0.0,0.0,0.0,0.0,0.0
20100121:0503,0.0,0.0,0.0,0.0,0.0
20100121:0603,0.0,0.0,0.0,0.0,0.0
20100121:0703,0.0,0.0,0.0,0.0,0.0
20100121:0803,0.0,0.0,0.0,0.0,0.0
20100121:0903,104.04,8.65,0.0,0.0,0.0
20100121:1003,336.3,21.97,0.0,0.0,0.0
20100121:1103,571.93,35.55,0.0,0.0,0.0
20100121:1203,780.4,49.28,0.0,0.0,0.0
20100121:1303,936.92,63.1,0.0,0.0,0.0
20100121:1403,1041.61,76.88,0.0,0.0,0.0
20100121:1503,1072.51,86.94,0.0,0.0,0.0
20100121:1603,1040.63,74.62,0.0,0.0,0.0
20100121:1703,931.99,60.81,0.0,0.0,0.0
20100121:1803,730.45,47.0,0.0,0.0,0.0
20100121:1903,422.44,33.29,0.0,0.0,0.0
20100121:2003,214.41,19.75,0.0,0.0,0.0
20100121:2103,70.92,6.48,0.0,0.0,0.0
20100121:2203,0.0,0.0,0.0,0.0,0.0
20100121:2303,0.0,0.0,0.0,0.0,0.0
20100122:0003,0.0,0.0,0.0,0.0,0.0
20100122:0103,0.0,0.0,0.0,0.0,0.0
20100122:0203,0.0,0.0,0.0,0.0,0.0
20100122:0303,0.0,0.0,0.0,0.0,0.0
20100122:0403,0.0,0.0,0.0,0.0,0.0
20100122:0503,0.0,0.0,0.0,0.0,0.0
20100122:0603,0.0,0.0,0.0,0.0,0.0
20100122:0703,0.0,0.0,0.0,0.0,0.0
20100122:0803,0.0,0.0,0.0,0.0,0.0
